Module,Stage,Status,business_id,name,address,city,state,postal_code,PhoneDayNumber,PhoneDayExt,Status
FoodFacility,Active,Permitted,MBIR-9L2QYF,Aramark@St. Louis University Salus Center,3545 Lafayette,St Louis,MO,63104,977-9430,,Permitted
FoodFacility,Active,Permitted,37942,Arber Cafe,6955 Gravois,St Louis,MO,63116,481-7933,,Permitted
FoodFacility,Active,Permitted,1400184,Arby's #504,4021 LINDELL,St Louis,MO,63108,652-0726,,Permitted
FoodFacility,Active,Permitted,21018,Arby's Roast Beef Restaurant #,6666 CHIPPEWA,St Louis,MO,63109,353-2800,,Permitted
FoodFacility,Active,Permitted,8700007,Arch You Hungry,4170 Hartford,St Louis,MO,63116,749-8608,,Permitted
FoodFacility,Active,Permitted,18963,Area IV Station,5918 HAMPTON,St Louis,MO,63109,481-4122,,Permitted
FoodFacility,Active,Permitted,KHUS-9LFSZK,Arena Bar & Grill,5760 West Park Ave,SAINT LOUIS,MO,63110,,,Permitted
FoodFacility,Active,Permitted,1200513,Ari's Greek American Cuisine,3101 Hampton Ave,St Louis,MO,63139,644-4264,,Permitted
FoodFacility,Active,Permitted,20361,Arkansas Fried Chicken,4656 DR M L KING,St Louis,MO,63113,531-1906,,Permitted
FoodFacility,Active,Permitted,38362,Arnold S Quick Shop,4470 CHOUTEAU,St Louis,MO,63117,531-5357,,Permitted
FoodFacility,Active,Permitted,KHUS-9LWM37,Arsenal Market,3301 Arsenal,SAINT LOUIS,MO,63116,,,Permitted
FoodFacility,Active,Permitted,KHUS-9LWM37,Arsenal Market,3301 Arsenal,SAINT LOUIS,MO,63116,,,Permitted
FoodFacility,Active,Permitted,1400687,Art Bakery & Grocery,3830 MORGANFORD,St Louis,MO,63116,578-0053,,Permitted
FoodFacility,Active,Permitted,MWIS-9ARKQ4,Aryana Market,5545 S Grand Blvd,SAINT LOUIS,MO,63111,,,Permitted
FoodFacility,Active,Permitted,KHUS-9MPS45,Asia Gourmet,412 N Tucker Blvd,SAINT LOUIS,MO,63103,,,Permitted
FoodFacility,Active,Permitted,11000007,Asian World Market,3106 CHEROKEE,St Louis,MO,63118,776-7706,,Permitted
FoodFacility,Active,Permitted,MWIS-985SXM,At Events,10536 Wisteria Ln,SAINT LOUIS,MO,63126,662-2368,,Permitted
FoodFacility,Active,Permitted,1200231,At Your Convenience @ Robert A Young Bldg,1222 SPRUCE ROOM 9.103,St Louis,MO,63103,436-1046,,Permitted
